v2.id,title,description,preconditions,postconditions,tags,priority,severity,type,behavior,automation,status,is_flaky,layer,steps_type,steps_actions,steps_result,steps_data,milestone_id,milestone,suite_id,suite_parent_id,suite,suite_without_cases,parameters,is_muted
,,,,,,,,,,,,,,,,,,,,1,,"Authentication Module",1
,,,,,,,,,,,,,,,,,,,,2,,"Main Menu",1
,,,,,,,,,,,,,,,,,,,,3,,Navigation,1
,,,,,,,,,,,,,,,,,,,,4,,"Order Creation",1
,,,,,,,,,,,,,,,,,,,,6,,"Courier Dashboard",1
,,,,,,,,,,,,,,,,,,,,7,,Notifications,1
,,,,,,,,,,,,,,,,,,,,8,,Maps,1
,,,,,,,,,,,,,,,,,,,,9,,Settings,1
1,"Successful User Registration",,,,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Launch the application""
2. ""Tap on \""Don't have an account? Sign Up\""""
3. ""Enter valid phone number with country code (e.g., +998901234567)""
4. ""Enter valid username (minimum 2 characters)""
5. ""Enter valid password (minimum 6 characters)""
6. ""Tap \""Sign Up\"" button""
","1. ""App loads with authentication screen displayed""
2. ""Registration form is displayed with username, phone, password fields""
3. ""Phone number is accepted and formatted correctly""
4. ""Username is accepted without validation errors""
5. ""Password is accepted without validation errors""
6. ""User account is created successfully and redirected to main menu""
","1. """"
2. """"
3. """"
4. """"
5. """"
6. """"
",,,1,,"Authentication Module",,,no
2,"Successful User Login",,,,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Launch the application""
2. ""Enter registered phone number""
3. ""Enter correct password""
4. ""Tap \""Login\"" button""
","1. ""Authentication screen is displayed""
2. ""Phone number is accepted""
3. ""Password is accepted""
4. ""User is authenticated and redirected to main menu""
","1. """"
2. """"
3. """"
4. """"
",,,1,,"Authentication Module",,,no
3,"Login with invalid credentials",,,,,undefined,normal,other,negative,is-not-automated,actual,no,unknown,classic,"1. ""Launch the application""
2. ""Enter unregistered phone number""
3. ""Enter any password""
4. ""Tap \""Login\"" button""
","1. ""Authentication screen is displayed""
2. ""Phone number is accepted""
3. ""Password is accepted""
4. ""Error message \""Authentication failed\"" is displayed""
","1. """"
2. """"
3. """"
4. """"
",,,1,,"Authentication Module",,,no
4,"Registration with weak password",,,,,undefined,normal,other,negative,is-not-automated,actual,no,unknown,classic,"1. ""Navigate to registration screen""
2. ""Enter valid phone number""
3. ""Enter valid username""
4. ""Enter password with less than 6 characters""
5. ""Tap \""Sign Up\"" button""
","1. ""Registration form is displayed""
2. ""Phone number is accepted""
3. ""Username is accepted""
4. ""Password is entered""
5. ""Validation error \""Password must be at least 6 characters\"" is displayed""
","1. """"
2. """"
3. """"
4. """"
5. """"
",,,1,,"Authentication Module",,,no
5,"Registration with short username",,,,,undefined,normal,other,negative,is-not-automated,actual,no,unknown,classic,"1. ""Navigate to registration screen""
2. ""Enter valid phone number""
3. ""Enter username with less than 2 characters""
4. ""Enter valid password""
5. ""Tap \""Sign Up\"" button""
","1. ""Registration form is displayed""
2. ""Phone number is accepted""
3. ""Username is entered""
4. ""Password is accepted""
5. ""Validation error \""Enter a valid username\"" is displayed""
","1. """"
2. """"
3. """"
4. """"
5. """"
",,,1,,"Authentication Module",,,no
6,"Registration with empty fields",,,,,undefined,normal,other,negative,is-not-automated,actual,no,unknown,classic,"1. ""Navigate to registration screen""
2. ""Leave all fields empty""
3. ""Tap \""Sign Up\"" button""
","1. ""Registration form is displayed""
2. ""All fields remain empty""
3. ""Validation errors are displayed for all required fields""
","1. """"
2. """"
3. """"
",,,1,,"Authentication Module",,,no
7,"Phone number format validation",,,,,undefined,normal,other,negative,is-not-automated,actual,no,unknown,classic,"1. ""Navigate to registration\/login screen""
2. ""Enter invalid phone number format""
3. ""Enter password""
4. ""Tap submit button""
","1. ""Form is displayed""
2. ""Invalid phone is entered""
3. ""Password is entered""
4. ""Phone field validation error is displayed""
","1. """"
2. """"
3. """"
4. """"
",,,1,,"Authentication Module",,,no
8,"Toggle between login and registration",,,,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Launch application""
2. ""Tap \""Don't have an account? Sign Up\""""
3. ""Tap \""Already have an account? Login\""""
4. ""Verify form fields change appropriately""
","1. ""Authentication screen is displayed""
2. ""Registration form appears with username field""
3. ""Login form appears without username field""
4. ""UI switches between modes correctly""
","1. """"
2. """"
3. """"
4. """"
",,,1,,"Authentication Module",,,no
9,"Customer Menu display",,"User is logged in as a customer",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""User logs in successfully""
2. ""Navigate to main menu""
3. ""Observe menu options""
","1. ""User is authenticated""
2. ""Main menu screen is displayed""
3. ""Three menu options are displayed: \""One-Time Pickup\"", \""Subscriptions\"", \""Settings\""""
","1. """"
2. """"
3. """"
",,,2,,"Main Menu",,,no
10,"Courier User Menu Display",,"User is logged in as courier (+998012223322)",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Courier user logs in successfully""
2. ""Navigate to main menu""
","1. ""User is authenticated""
2. ""User is redirected directly to Courier Dashboard""
","1. """"
2. """"
",,,2,,"Main Menu",,,no
16,"MEnu refresh functionality",,"User is logged in",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Pull down to refresh on main menu""
2. ""Observe refresh indicator""
3. ""Verify data update""
","1. ""Refresh gesture is performed""
2. ""Refresh indicator appears and disappears""
3. ""Menu data refreshes and notification count updates""
","1. """"
2. """"
3. """"
",,,2,,"Main Menu",,,no
11,"Navigate to one time pickup",,"User is logged in",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""From main menu, tap \""One-Time Pickup\""""
2. ""Observe navigation""
","1. ""Menu option is tapped""
2. ""User is navigated to Trash Pickup Order Screen""
","1. """"
2. """"
",,,3,,Navigation,,,no
12,"Navigate to Subscriptions",,"User is logged in",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""From main menu, tap \""Subscriptions\""""
2. ""Observe navigation""
","1. ""Menu option is tapped""
2. ""User is navigated to Subscriptions Screen""
","1. """"
2. """"
",,,3,,Navigation,,,no
